"id(l)","id(a)"
"Phishing/Hacking","0x96252384756c3817f14a907d3b4e8b698ce81ca3"
"Phishing/Hacking","0x446593015e30bacDEf625F76BCd84d2D2A0A0461"
"Phishing/Hacking","0xf982928d81209c387be28d6bb58012021e9f56d6"
"Phishing/Hacking","0x366e4aff0c016dd192319bb570792ca490338d67"
"Aura","0x07bd9b4a3e364cd4b3bb49035972af70b2e8961f"
"Phishing/Hacking","0x12ee527b57f5c862ad129934d2852b62aa14fd2e"
"Solidly","0x3faab499b519fdc5819e3d7ed0c26111904cbc28"
"DEX","0x3faab499b519fdc5819e3d7ed0c26111904cbc28"
"Phishing/Hacking","0xd316c5c4b5ff98c0fa187b5902af1b1f11ef6b77"
"Fake Project Scam","0x3bfa3746eaee38f287f568af6ca0266079c91ea1"
"Rug Pull","0xbb60fEd57C8554F25c78e0220104d11045f8db22"
"Phishing/Hacking","0xc55e41763796698b533f343ca9fc3c4b4ed40693"
"Uniswap","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
"DEX","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
"CurveFi","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
"Nerve","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
"Phishing/Hacking","0x860b62006ea05a05c7638d16a106858450bde336"
"DEX","0x346a59146b9b4a77100d369a3d18e8007a9f46a6"
"Nerve","0x346a59146b9b4a77100d369a3d18e8007a9f46a6"
"DEX","0xfeea4d1bacb0519e8f952460a70719944fe56ee0"
"Nerve","0xfeea4d1bacb0519e8f952460a70719944fe56ee0"
"Fake Returns Scam","0xD2e8FCeC06721117D3F9dFeeeE25f8b87a106C47"
"Phishing/Hacking","0xb266dd9b9bd8347622113bdfc847e559c51e846f"
"ENS","0xa2c122be93b0074270ebee7f6b7292c7deb45047"
"Phishing/Hacking","0xd9a1968aec13220e91a31d602f2519262b38dd3a"
"Rari Capital","0xf0f3a1494ae00b5350535b7777abb2f499fc13d4"
"Layer 2","0xce81e7d009e53c02242b724819df1869da5e9fd8"
"Protocol","0xce81e7d009e53c02242b724819df1869da5e9fd8"
"Arbitrum","0xce81e7d009e53c02242b724819df1869da5e9fd8"
"Fraud Proof","0xce81e7d009e53c02242b724819df1869da5e9fd8"
"Phishing/Hacking","0x20cbe0524157f564a5dca1c18f376e72b4528e64"
"Phishing/Hacking","0x84f78a787c5b5c76ff10c9039ce3b7ead8aae10d"
"DEX","0xfdb22e3bf935c1c94254f050bbe093563f533534"
"CurveFi","0xfdb22e3bf935c1c94254f050bbe093563f533534"
"Brave Frontier Heroes","0xaa06e5c117dbe8bc52dbaa18aaf447eda556b13c"
